model_name,target_quantile,observed_coverage,coverage_error,pinball_loss,mean_predicted_quantile,median_predicted_quantile,min_predicted_quantile,max_predicted_quantile
gb_quantile_p90,0.9,0.896,-0.0040000000000000036,598.8689225892646,5879.726980144583,5392.877899975697,2009.255195252161,21353.94531377562
gb_quantile_p95,0.95,0.9467,-0.0032999999999999696,409.0378270365566,7725.660636787991,7156.400385809233,2900.790815767408,31437.38864462258
gb_quantile_p99,0.99,0.9892,-0.0008000000000000229,142.2076301746917,12763.092237411392,12008.073594642883,5991.499664732898,38178.29768253452
